SourceField,TargetField,DataType
Id,CaseId,STRING
AccountId,AccountId,STRING
CaseNumber,CaseNumber,STRING
ClosedDate,ClosedDatestamp,TIMESTAMP
Comments,Comments,STRING
ContactEmail,ContactEmail,STRING
ContactFax,ContactFax,STRING
ContactId,ContactId,STRING
ContactMobile,ContactMobile,STRING
ContactPhone,ContactPhone,STRING
CreatedById,CreatedById,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
Description,Description,STRING
EntitlementId,EntitlementId,STRING
IsClosed,IsClosed,BOOL
IsEscalated,IsEscalated,BOOL
Language,Language,STRING
LastModifiedById,LastModifiedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
LastViewedDate,LastViewedDatestamp,TIMESTAMP
MasterRecordId,MasterRecordId,STRING
Origin,Origin,STRING
OwnerId,OwnerId,STRING
ParentId,ParentId,STRING
Priority,Priority,STRING
Reason,Reason,STRING
RecordTypeId,RecordTypeId,STRING
SlaExitDate,SlaExitDatestamp,TIMESTAMP
SlaStartDate,SlaStartDatestamp,TIMESTAMP
Status,Status,STRING
Subject,Subject,STRING
SuppliedCompany,SuppliedCompany,STRING
SuppliedEmail,SuppliedEmail,STRING
SuppliedName,SuppliedName,STRING
SuppliedPhone,SuppliedPhone,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
Type,Type,STRING
