SourceField,TargetField,DataType
Id,OpportunityId,STRING
AccountId,AccountId,STRING
Amount,Amount,FLOAT
CampaignId,CampaignId,STRING
CloseDate,CloseDate,DATE
ContactId,ContactId,STRING
CreatedById,CreatedById,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
Description,Description,STRING
Fiscal,Fiscal,STRING
FiscalQuarter,FiscalQuarter,INT64
FiscalYear,FiscalYear,INT64
ForecastCategory,ForecastCategory,STRING
ForecastCategoryName,ForecastCategoryName,STRING
HasOpenActivity,HasOpenActivity,BOOL
HasOpportunityLineItem,HasOpportunityLineItem,BOOL
HasOverdueTask,HasOverdueTask,BOOL
IsClosed,IsClosed,BOOL
IsWon,IsWon,BOOL
LastActivityDate,LastActivityDate,DATE
LastAmountChangedHistoryId,LastAmountChangedHistoryId,STRING
LastCloseDateChangedHistoryId,LastCloseDateChangedHistoryId,STRING
LastModifiedById,LastModifiedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
LastStageChangeDate,LastStageChangeDatestamp,TIMESTAMP
LastViewedDate,LastViewedDatestamp,TIMESTAMP
LeadSource,LeadSource,STRING
Name,Name,STRING
NextStep,NextStep,STRING
OwnerId,OwnerId,STRING
Pricebook2Id,Pricebook2Id,STRING
Probability,Probability,FLOAT
RecordTypeId,RecordTypeId,STRING
StageName,StageName,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
Type,Type,STRING
