SourceField,TargetField,DataType
Id,UserId,STRING
AboutMe,AboutMe,STRING
AccountId,AccountId,STRING
Alias,Alias,STRING
BadgeText,BadgeText,STRING
BannerPhotoUrl,BannerPhotoUrl,STRING
CallCenterId,CallCenterId,STRING
City,City,STRING
CommunityNickname,CommunityNickname,STRING
CompanyName,CompanyName,STRING
ContactId,ContactId,STRING
Country,Country,STRING
CreatedById,CreatedById,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
DefaultGroupNotificationFrequency,DefaultGroupNotificationFrequency,STRING
DelegatedApproverId,DelegatedApproverId,STRING
Department,Department,STRING
DigestFrequency,DigestFrequency,STRING
Division,Division,STRING
Email,Email,STRING
EmailEncodingKey,EmailEncodingKey,STRING
EmailPreferencesAutoBcc,EmailPreferencesAutoBcc,BOOL
EmployeeNumber,EmployeeNumber,STRING
Extension,Extension,STRING
Fax,Fax,STRING
FederationIdentifier,FederationIdentifier,STRING
FirstName,FirstName,STRING
ForecastEnabled,ForecastEnabled,BOOL
FullPhotoUrl,FullPhotoUrl,STRING
GeocodeAccuracy,GeocodeAccuracy,STRING
IndividualId,IndividualId,STRING
IsActive,IsActive,BOOL
IsProfilePhotoActive,IsProfilePhotoActive,BOOL
LanguageLocaleKey,LanguageLocaleKey,STRING
LastLoginDate,LastLoginDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastName,LastName,STRING
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
LastViewedDate,LastViewedDatestamp,TIMESTAMP
Latitude,Latitude,STRING
LocaleSidKey,LocaleSidKey,STRING
Longitude,Longitude,STRING
ManagerId,ManagerId,STRING
MediumBannerPhotoUrl,MediumBannerPhotoUrl,STRING
MediumPhotoUrl,MediumPhotoUrl,STRING
MobilePhone,MobilePhone,STRING
Name,Name,STRING
Phone,Phone,STRING
PostalCode,PostalCode,STRING
ProfileId,ProfileId,STRING
SenderEmail,SenderEmail,STRING
SenderName,SenderName,STRING
Signature,Signature,STRING
SmallBannerPhotoUrl,SmallBannerPhotoUrl,STRING
SmallPhotoUrl,SmallPhotoUrl,STRING
State,State,STRING
Street,Street,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
TimeZoneSidKey,TimeZoneSidKey,STRING
Title,Title,STRING
Username,UserName,STRING
UserRoleId,UserRoleId,STRING
UserType,UserType,STRING
